Q0,detune,m_over_thr,m,gain_pct_mean,gain_pct_std,delta_growth_mean,delta_growth_std
300.0,0.98,0.9,0.003,-3.87804603395087,6.923452938769714,-0.09603181049119763,0.050423502941377596
300.0,0.98,1.1,0.003666666666666667,-4.744412403468738,8.464875353723421,-0.12126290231828568,0.06433277229310236
300.0,0.98,1.4,0.004666666666666667,-6.032109587721495,10.778338187626368,-0.16192210458502287,0.08748597402497738
300.0,0.98,1.8,0.006,-7.707031934917745,13.864371794047862,-0.2215598372750296,0.12322213992999065
300.0,0.98,2.2,0.007333333333333334,-9.304883848789046,16.951231682565382,-0.2876165312808474,0.16541274854442956
300.0,1.0,0.7,0.0023333333333333335,19.195666487215064,7.977811698772226,0.114285868527359,0.013502606843996179
300.0,1.0,0.9,0.003,31.84556280559371,12.81664420812787,0.19141658620713253,0.016561506906628276
300.0,1.0,1.1,0.003666666666666667,48.216475335828974,19.504886946693873,0.2864236968846789,0.019394278120618502
300.0,1.0,1.4,0.004666666666666667,80.8356445700312,34.278431416251394,0.46099863573482286,0.023393948527179964
300.0,1.0,1.8,0.006,143.22386623882826,66.9480001859296,0.7535868301209341,0.02867466715607697
300.0,1.0,2.2,0.007333333333333334,235.37716496477248,122.62544842544713,1.1208121636397421,0.03442104580447458
300.0,1.02,0.7,0.0023333333333333335,4.379343377591459,4.696403949563528,-0.039125007657571154,0.011145905636018971
300.0,1.02,0.9,0.003,5.612020501497737,6.167227855168991,-0.05068528966774388,0.013754545285602493
300.0,1.02,1.1,0.003666666666666667,6.844544018166287,7.699965059749701,-0.06229174668500731,0.01605501066585574
300.0,1.02,1.4,0.004666666666666667,8.704071218876042,10.121997759429684,-0.0796283883644126,0.01884839841578917
300.0,1.02,1.8,0.006,11.232903337184242,13.600311945167528,-0.10219582752750972,0.021117024369347093
300.0,1.02,2.2,0.007333333333333334,13.864804576570522,17.396106753544196,-0.12350943531027514,0.021333246311388443
600.0,0.98,0.7,0.0011666666666666668,-1.6856775383271885,2.8026521521738115,-0.04729356890045572,0.024298472137192884
600.0,0.98,0.9,0.0015,-2.1702107195646168,3.600894734584152,-0.06185373043188436,0.031860924781680455
600.0,0.98,1.1,0.0018333333333333335,-2.655293807853298,4.398061875199856,-0.07689177054557261,0.03972813580248846
600.0,0.98,1.4,0.0023333333333333335,-3.383005128952501,5.591816777748546,-0.10035939048499026,0.05213634468818423
600.0,0.98,1.8,0.003,-4.351090351723639,7.17977635474963,-0.13338383783828262,0.06990317490584591
600.0,0.98,2.2,0.003666666666666667,-5.313238505987591,8.763471381377457,-0.1684378066057784,0.08919553799113661
600.0,1.0,0.7,0.0011666666666666668,5.126637969566956,2.586567599806358,0.035211317495829786,0.01029061465828146
600.0,1.0,0.9,0.0015,8.316329924057221,3.757303209887913,0.06172928155883878,0.01289161209682571
